time,v,w
671.1896932125092,0.0,0.0
671.2396194934845,0.0,0.0
671.2911834716797,0.0,0.0
671.3396892547607,0.0,0.0
671.3896796703339,0.0,0.0
671.4396731853485,0.0,0.0
671.4896576404572,0.0,0.0
671.5397503376007,0.0,0.0
671.5908703804016,0.15,0.0
671.6408660411835,0.15,0.0
671.6897323131561,0.15,0.0
671.7396507263184,0.15,0.0
671.7896230220795,0.15,0.0
671.8396697044373,0.15,0.0
671.8951916694641,0.15,0.0
671.9397027492523,0.15,0.0
671.9898316860199,0.15,0.0
672.0398309230804,0.15,0.0
672.0906319618225,0.15,0.0
672.1405534744263,0.15,0.0
672.1908385753632,0.19285714285714284,0.0
672.2451257705688,0.19285714285714284,0.0
672.2909691333771,0.19285714285714284,0.0
672.3404161930084,0.19285714285714284,0.0
672.3901839256287,0.19285714285714284,0.0
672.4401791095734,0.19285714285714284,0.0
672.4907629489899,0.2785714285714286,0.0
672.5413172245026,0.2785714285714286,0.0
672.59046626091,0.2785714285714286,0.0
672.6402113437653,0.2785714285714286,0.0
672.6902968883514,0.2785714285714286,0.0
672.740469455719,0.2785714285714286,0.0
672.790317773819,0.3,0.0
672.8454012870789,0.3,0.0
672.8908431529999,0.3,0.0
672.9400396347046,0.3,0.0
672.9903008937836,0.3,0.0
673.0402567386627,0.3,0.0
673.0908107757568,0.3,0.0
673.1409401893616,0.3,0.0
673.190169095993,0.3,0.0
673.2399244308472,0.3,0.0
673.2908837795258,0.3,0.0
673.3403606414795,0.3,0.0
673.3902063369751,0.3,0.0
673.4402279853821,0.3,0.0
673.4902400970459,0.3,0.0
673.5400381088257,0.3,0.0
673.5909206867218,0.3,0.0
673.6403069496155,0.3,0.0
673.6904163360596,0.3,0.0
673.741708278656,0.3,0.0
673.7903890609741,0.3,0.0
673.8400914669037,0.3,0.0
673.8907692432404,0.3,0.0
673.9403209686279,0.3,0.0
673.990207195282,0.20588235294117643,0.0
674.042407989502,0.20588235294117643,0.0
674.0904269218445,0.20588235294117643,0.0
674.1401052474976,0.20588235294117643,0.0
674.1908667087555,0.20588235294117643,0.0
674.2403466701508,0.20588235294117643,0.0
674.2902908325195,0.11764705882352944,0.0
674.3404731750488,0.11764705882352944,0.0
674.3905937671661,0.11764705882352944,0.0
674.4404661655426,0.11764705882352944,0.0
674.4905836582184,0.11764705882352944,0.0
674.5414254665375,0.11764705882352944,0.0
674.5956439971924,0.0,0.0
674.6420197486877,0.0,0.0
674.6901359558105,0.0,0.0
674.7400286197662,0.0,0.0
674.7900333404541,0.0,0.0
674.8400664329529,0.0,0.0
674.8933157920837,0.0,0.0
674.9406869411469,0.0,0.0
674.9904329776764,0.0,0.0
675.0402796268463,0.0,0.0
675.0902848243713,0.0,0.0
675.1400766372681,0.0,0.0
675.1911556720734,0.0,0.0
675.2411143779755,0.0,0.0
675.2902915477753,0.0,0.0
675.3400719165802,0.0,0.0
675.3900947570801,0.0,0.0
675.4406621456146,0.0,0.0
675.4907953739166,0.0,0.0
675.5429465770721,0.0,0.15
675.5921654701233,0.0,0.15
675.6402752399445,0.0,0.15
675.6901895999908,0.0,0.15
675.7405309677124,0.0,0.15
675.790632724762,0.0,0.15
675.8471872806549,0.0,0.15
675.8908267021179,0.0,0.15
675.9404196739197,0.0,0.15
675.9902987480164,0.0,0.15
676.0407421588898,0.0,0.15
676.0907130241394,0.0,0.15
676.143655538559,0.0,0.15
676.1917629241943,0.0,0.15
676.2403092384338,0.0,0.15
676.2902400493622,0.0,0.15
676.3405287265778,0.0,0.15
676.3906242847443,0.0,0.15
676.4412157535553,0.0,0.15
676.4921340942383,0.0,0.15
676.5404055118561,0.0,0.15
676.591540813446,0.0,0.15
676.6404614448547,0.0,0.15
676.690372467041,0.0,0.15
676.7408094406128,0.0,0.15
676.7922167778015,0.0,0.15
676.8403739929199,0.0,0.15
676.8908562660217,0.0,0.15
676.9407072067261,0.0,0.15
676.9905047416687,0.0,0.15
677.0415074825287,0.0,0.15
677.0935137271881,0.0,0.15
677.1413817405701,0.0,0.15
677.1913797855377,0.0,0.15
677.2405364513397,0.0,0.15
677.2905058860779,0.0,0.15
677.3408026695251,0.0,0.15
677.3926908969879,0.0,0.15
677.4403760433197,0.0,0.15
677.4932343959808,0.0,0.15
677.5404515266418,0.0,0.15
677.5904643535614,0.0,0.15
