time,v,w
0.05456972122192383,0.0,0.0
0.05482292175292969,0.0,0.0
0.10447382926940918,0.0,0.0
0.10470771789550781,0.0,0.0
0.15447402000427246,0.0,0.0
0.1547081470489502,0.0,0.0
0.2044816017150879,0.0,0.0
0.20471668243408203,0.0,0.0
0.2544820308685303,0.0,0.0
0.25472450256347656,0.0,0.0
0.30446720123291016,0.0,0.0
0.30470848083496094,0.0,0.0
0.3544764518737793,0.0,0.0
0.3547358512878418,0.0,0.0
0.4044649600982666,0.0,0.0
0.40470075607299805,0.0,0.0
0.45470309257507324,0.0,0.0
0.454939603805542,0.0,0.0
0.5044741630554199,0.0,0.0
0.5047094821929932,0.0,0.0
0.5544428825378418,0.0,0.0
0.5546841621398926,0.0,0.0
0.604257345199585,0.0,0.0
0.6045258045196533,0.0,0.0
0.6544139385223389,0.0,0.0
0.6546916961669922,0.0,0.0
0.7043955326080322,0.0,0.0
0.7046527862548828,0.0,0.0
0.7544853687286377,0.0,0.0
0.7547192573547363,0.0,0.0
0.8045046329498291,0.0,0.0
0.8047425746917725,0.0,0.0
0.8545095920562744,0.0,0.0
0.8547718524932861,0.0,0.0
0.9044771194458008,0.0,0.0
0.9047391414642334,0.0,0.0
0.9549047946929932,0.0,0.0
0.9551746845245361,0.0,0.0
1.004380226135254,0.0,0.0
1.0046117305755615,0.0,0.0
1.0544764995574951,0.0,0.0
1.0547513961791992,0.0,0.0
1.1045148372650146,0.0,0.0
1.1047766208648682,0.0,0.0
1.1544771194458008,0.0,0.0
1.1547143459320068,0.0,0.0
1.2046864032745361,0.0,0.0
1.204920768737793,0.0,0.0
1.254465103149414,0.0,0.0
1.254702091217041,0.0,0.0
1.304490566253662,0.0,0.0
1.3047244548797607,0.0,0.0
1.3544964790344238,0.0,0.0
1.3547320365905762,0.0,0.0
1.4044787883758545,0.0,0.0
1.404714822769165,0.0,0.0
1.454481601715088,0.0,0.0
1.4547135829925537,0.0,0.0
1.504377841949463,0.0,0.0
1.5046093463897705,0.0,0.0
1.554441213607788,0.0,0.0
1.5546610355377197,0.0,0.0
1.6044352054595947,0.0,0.0
1.6046550273895264,0.0,0.0
1.6544709205627441,0.0,0.0
1.6547346115112305,0.0,0.0
1.7046988010406494,0.0,0.0
1.7049596309661865,0.0,0.0
